曲线开始时间: ,,,Thu Apr 16 04:09:01 2009,,,,,,,,
,,,,,,,,,,,
产品名称: ,,,Reflow Demo,,,,,,,,
制程界限名称: ,,,System Default,,,,,,,,
炉子名称: ,,,8 Zone Oven,,,,,,,,
制程界限描述: ,,,Enter your Process Spec description here...,,,,,,,,
炉子食谱名称: ,,,,,,,,,,,
温度曲线描述: ,,,Maximize Conveyor Speed (Actual),,,,,,,,
产品长度 (英寸): ,,,0,,,,,,,,
产品阔度 (英寸): ,,,0,,,,,,,,
产品重量 (克): ,,,0,,,,,,,,
传送带速度单位: ,,,英寸/分,,,,,,,,
温度标度: ,,,摄氏度,,,,,,,,
SetpointAlignmentMethod=0,,,PercentageOfProfileToLookForFirstZone=33,,,,,,,,
MaxSlopeWidthInPointsToAlignSetpoints=5,,,,,MinFirstSetpointPosition=0.0,,,,,MaxFirstSetpointPosition=25.0,
fAirTCPeakShouldBeTheHottestByAtleastThisManyDegrees=5.0,,,,,fAirTCIncreasedByThisManyDegrees=0.0,,,,,,
fReportAnErrorIfAirTCPeakIsCoolerByMoreThanThisManyDegrees=10.0,,,,,,,,,,,
,,,,,,,,,,,
固化界限大小(秒)= 60,,,,固化界限大小(度)=6.0,,,,,温度曲线种类:锡膏回流,,
"有效热电偶=2, 3, 4, ",,,炉子长度=171.42,,,温区设定数量=8,,,,,
,,,,,,,,,,,
曲线最佳化设置:,,,,,,,,,,,
,允许温区温度变化=1,,,,,,,,,,
,允许传送带速度变化=1,,,,最低传送带速度=5.0,,,,最高传送带速度=60.0,,
,Navigator 计算方式= 最低化制程界限指数(PWI),,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
2.25,45.06,25.9,25.78,26.06,30.23,6.4,67.4,27.74,30.83,,
2.5,46.17,25.84,25.67,26.01,30.23,7.11,68.35,28.16,32.68,,
2.75,48.84,25.9,25.73,26.06,30.23,7.82,71.06,28.93,34.7,,
3,50.62,25.95,25.9,25.51,30.23,8.53,72.57,29.75,37.58,,
3.25,48.95,25.95,25.78,26.06,30.23,9.24,72.33,30.49,40.42,,
3.5,50.28,25.95,25.84,26.06,30.23,9.95,71.64,31.33,42.23,,
3.75,52.34,25.95,25.78,26.06,30.23,10.66,80.24,32.29,43.8,,
4,54.51,26.01,25.84,26.06,30.23,11.38,82.2,33.24,45.06,,
4.25,55.95,26.06,25.84,26.12,30.23,12.09,83.14,34.01,46.97,,
4.5,56.51,26.06,25.84,26.06,30.23,12.8,82.33,35.12,49.16,,
4.75,58.56,26.12,25.84,26.06,30.23,13.51,86.68,36.26,50.57,,
5,60.28,26.06,25.9,26.12,30.23,14.22,86.24,37.75,51.62,,
5.25,62.06,26.17,25.9,26.12,30.23,14.93,85.82,39.91,52.47,,
5.5,64.12,26.17,25.9,26.12,30.23,15.64,86.5,41.79,53.99,,
5.75,65.73,26.23,25.84,26.12,30.23,16.35,89.42,43.3,55.62,,
6,67.34,26.28,25.9,26.12,30.23,17.06,90.83,44.61,57.02,,
6.25,67.4,26.28,25.9,26.23,30.23,17.78,91.21,45.91,57.86,,
6.5,67.4,26.34,25.95,26.17,30.23,18.49,92.75,47.51,58.7,,
6.75,67.95,26.34,25.9,26.12,30.23,19.2,93.56,49.78,60.12,,
7,67.84,26.34,25.95,26.23,30.23,19.91,94.12,51.85,61.42,,
7.25,69.01,26.4,25.95,26.23,30.23,20.62,94.26,53.69,62.25,,
7.5,70.28,26.51,26.01,26.28,30.23,21.33,93.89,55.19,62.6,,
7.75,70.73,26.56,26.01,26.23,30.23,22.04,93.84,56.29,62.66,,
8,71.9,26.56,26.06,26.28,30.17,22.75,94.68,57.34,62.62,,
8.25,72.56,26.62,26.12,26.28,30.23,23.46,95.87,58.4,62.77,,
8.5,72.56,26.56,26.06,26.23,30.23,24.17,95.75,59.6,62.99,,
8.75,72.62,26.67,26.06,26.28,30.23,24.89,95.73,60.72,63.37,,
9,71.9,26.73,26.12,26.28,30.23,25.6,97.07,62.25,63.81,,
9.25,72.34,26.73,26.17,26.28,30.23,26.31,99.72,63.89,64.36,,
9.5,73.12,26.84,26.12,26.34,30.17,27.02,101.21,65.43,64.85,,
9.75,73.73,26.84,26.23,26.34,30.17,27.73,102.22,66.75,65.43,,
10,71.17,26.95,26.23,26.34,30.23,28.44,102.88,67.75,65.87,,
10.25,72.62,26.95,26.28,26.4,30.17,29.15,103.19,68.65,66.31,,
10.5,77.23,27.01,26.28,26.45,30.23,29.86,104.13,69.55,66.64,,
10.75,81.78,27.17,26.34,26.4,30.23,30.57,105.37,69.9,67,,
11,82.12,27.17,26.34,26.4,30.17,31.28,106.62,70.2,67.54,,
11.25,81.78,27.23,26.34,26.4,30.23,32,108.44,70.42,68.5,,
11.5,82.62,27.34,26.4,26.51,30.17,32.71,109.76,70.94,69.9,,
11.75,83.45,27.45,26.45,26.51,30.17,33.42,110.67,71.32,71.37,,
12,83.9,27.45,26.51,26.51,30.23,34.13,111.93,71.84,73.32,,
12.25,81.73,27.62,26.45,26.45,30.23,34.84,112.98,72.37,75.7,,
12.5,81.12,27.78,26.51,26.51,30.23,35.55,113.25,73.03,77.84,,
12.75,81.9,27.9,26.51,26.56,30.17,36.26,113.12,73.69,79.19,,
13,84.17,28.06,26.56,26.56,30.17,36.97,112.97,74.13,80.46,,
13.25,85.73,28.23,26.62,26.51,30.17,37.68,112.07,74.81,81.37,,
13.5,86.67,28.51,26.73,26.67,30.17,38.39,112.04,75.32,82.86,,
13.75,86.84,28.78,26.73,26.73,30.23,39.1,112.75,75.91,84.49,,
14,86.34,29.12,26.78,26.84,30.23,39.82,113.4,76.46,85.69,,
14.25,86.23,29.45,26.84,26.95,30.17,40.53,114.01,76.99,86.63,,
14.5,85.78,29.67,26.84,27.17,30.17,41.24,115.15,77.75,87.21,,
14.75,85.62,29.95,26.9,27.4,30.17,41.95,116.22,78.54,88.25,,
15,85.9,30.23,26.9,27.67,30.23,42.66,117.56,79.59,89.7,,
15.25,85.78,30.45,26.95,27.78,30.17,43.37,118.56,80.82,90.61,,
15.5,86.34,30.78,27.06,27.84,30.23,44.08,118.71,82.14,91.23,,
15.75,86.62,31.06,27.12,27.84,30.17,44.79,119.63,83.34,91.89,,
16,88.17,31.34,27.17,27.9,30.17,45.5,120.45,84.7,92.95,,
16.25,89.12,31.67,27.28,28.06,30.23,46.22,120.88,85.95,94.06,,
16.5,89.84,32.06,27.34,28.06,30.17,46.93,121.12,87,94.73,,
16.75,90.28,32.34,27.34,27.95,30.17,47.64,121.21,87.77,94.98,,
17,90.73,32.73,27.4,28.06,30.23,48.35,121.54,89.03,94.91,,
17.25,91.12,33.06,27.45,28.06,30.17,49.06,122.6,91.06,94.84,,
17.5,91.28,33.34,27.62,28.06,30.17,49.77,123.06,92.87,94.84,,
17.75,91.17,33.56,27.62,28.06,30.17,50.48,123.02,94.33,94.9,,
18,91.51,33.84,27.73,28.06,30.17,51.19,122.98,95.69,95.06,,
18.25,92.23,34.17,27.84,28.06,30.17,51.9,123.66,96.7,95.39,,
18.5,92.78,34.62,27.9,28.12,30.17,52.61,124.9,97.63,95.67,,
18.75,92.78,35.01,27.95,28.12,30.17,53.33,125.58,98.3,95.94,,
19,93.12,35.34,28.06,28.12,30.17,54.04,125.51,98.83,96.3,,
19.25,93.67,35.73,28.23,28.17,30.17,54.75,125.62,99.25,96.62,,
19.5,93.95,36.17,28.51,28.17,30.17,55.46,125.97,99.67,96.99,,
19.75,94.12,36.62,28.78,28.23,30.17,56.17,126.86,100.68,97.34,,
20,94.12,37.06,29.17,28.23,30.17,56.88,127.7,101.41,97.79,,
20.25,94.28,37.73,29.56,28.34,30.17,57.59,128.65,102.09,98.38,,
20.5,94.23,38.45,30.01,28.51,30.17,58.3,128.17,102.4,99.55,,
20.75,94.28,39.23,30.51,28.56,30.17,59.01,127.89,102.4,101.37,,
21,93.84,40.01,31.06,28.62,30.17,59.72,128.01,102.45,103.54,,
21.25,93.84,40.84,31.67,28.73,30.17,60.44,128.66,102.56,105.94,,
21.5,94.01,41.4,32.4,28.84,30.17,61.15,128.53,102.71,108.86,,
21.75,94.06,41.95,33.06,28.95,30.17,61.86,129.2,103.07,111.32,,
22,93.9,42.51,33.73,29.06,30.17,62.57,131.52,103.47,112.66,,
22.25,93.56,43.12,34.45,29.4,30.17,63.28,136.76,104.01,113.76,,
22.5,94.23,43.45,35.34,29.9,30.17,63.99,141.6,104.64,114.76,,
22.75,94.67,43.95,36.34,29.95,30.17,64.7,146.15,105.11,116.74,,
23,95.28,44.45,37.45,30.12,30.17,65.41,149.06,106.08,118.47,,
23.25,95.73,44.84,38.56,30.51,30.17,66.12,152.09,107.03,119.61,,
23.5,95.9,45.34,39.56,30.73,30.17,66.83,152.6,108.17,120.39,,
23.75,95.9,45.78,40.45,31.06,30.17,67.55,153.3,109.17,121.1,,
24,95.78,46.28,41.12,31.45,30.17,68.26,154.13,110.24,122.57,,
24.25,95.73,46.9,41.78,31.78,30.17,68.97,155.44,111.29,123.94,,
24.5,95.62,47.45,42.34,32.06,30.17,69.68,155.44,112.39,124.89,,
24.75,95.67,48.12,43.06,32.28,30.17,70.39,155.1,113.46,125.46,,
25,95.78,48.95,43.51,32.67,30.17,71.1,155.57,114.64,126.19,,
25.25,96.28,49.84,43.95,33.34,30.17,71.81,156.16,116.04,127.68,,
25.5,96.84,50.62,44.4,33.84,30.17,72.52,156.58,117.14,129.03,,
25.75,97.45,51.28,44.78,34.23,30.17,73.23,156.85,118.56,129.71,,
26,98.34,52.01,45.34,34.73,30.17,73.94,157.31,120.56,129.95,,
26.25,99.51,52.73,45.95,35.17,30.17,74.66,158.04,122.56,129.92,,
26.5,100.45,53.34,46.73,35.62,30.17,75.37,159.49,124.65,129.7,,
26.75,100.84,53.9,47.45,35.95,30.17,76.08,160.67,126.01,129.67,,
27,101.17,54.51,48.28,36.45,30.17,76.79,161.62,127.57,129.62,,
27.25,101.73,55.01,49.06,37.01,30.17,77.5,162.12,128.9,129.67,,
27.5,102.12,55.4,49.62,37.4,30.17,78.21,163.06,129.95,129.89,,
27.75,102.23,55.78,50.12,37.95,30.17,78.92,164.62,130.94,130.16,,
28,102.51,56.17,50.56,38.51,30.17,79.63,165.42,131.73,130.54,,
28.25,102.84,56.56,50.9,39.06,30.17,80.34,165.75,132.18,130.87,,
28.5,102.9,56.95,51.28,39.51,30.17,81.05,166.01,132.58,131.28,,
28.75,102.9,57.28,51.67,40.06,30.17,81.76,166.24,132.91,131.57,,
29,102.95,57.62,51.95,40.56,30.17,82.48,166.76,133.4,131.95,,
29.25,103.34,57.95,52.23,40.95,30.17,83.19,167.19,133.56,132.37,,
29.5,103.56,58.4,52.56,41.23,30.17,83.9,167.51,133.76,132.86,,
29.75,103.95,58.9,53.06,41.51,30.17,84.61,168.01,134.14,133.51,,
30,104.34,59.23,53.62,41.67,30.17,85.32,167.92,134.5,134.45,,
30.25,104.51,59.67,54.28,42.06,30.17,86.03,168.41,134.9,135.78,,
30.5,105.17,60.12,54.84,42.23,30.17,86.74,168.96,135.29,137.26,,
